"","Order","PID","MS_SubClass","MS_Zoning","Lot_Frontage","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod.Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_SF_1","BsmtFin_Type_2","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","X1st_Flr_SF","X2nd_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","TotRms_AbvGrd","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Yr_Blt","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","X3Ssn_Porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Yr_Sold","Sale_Type","Sale_Condition","SalePrice"
"234",225,905352140,60,"RL",NA,17082,"Pave",NA,"IR1","Low","AllPub","CulDSac","Mod","ClearCr","Norm","Norm","1Fam","2Story",6,5,1978,1992,"Gable","CompShg","VinylSd","VinylSd","BrkFace",288,"TA","TA","PConc","Gd","TA","Av","ALQ",964,"Unf",0,153,1117,"GasA","Ex","Y","SBrkr",1117,864,0,1981,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd",1978,"Fin",2,522,"TA","TA","Y",336,104,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",230000
"235",226,905378040,50,"RL",124,18600,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",3,4,1938,1990,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",288,"LwQ",684,0,972,"GasA","TA","Y","FuseA",1052,558,0,1610,0,1,2,0,4,1,"Fa",8,"Typ",1,"Gd","Attchd",1938,"RFn",1,480,"TA","TA","Y",0,0,60,0,0,0,NA,NA,"Shed",450,6,2010,"WD ","Normal",124000
"236",227,905426060,30,"RL",85,10625,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",108,"Unf",0,350,458,"GasA","Fa","N","SBrkr",835,0,0,835,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Basment",1920,"Unf",1,366,"Fa","TA","Y",0,0,77,0,0,0,NA,NA,"Shed",400,5,2010,"COD","Abnorml",83000
"237",228,905426200,20,"RL",65,11479,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",6,7,1950,1987,"Gable","CompShg","Wd Sdng","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",104,"Rec",387,172,663,"GasA","Ex","Y","SBrkr",1074,0,0,1074,1,0,1,0,3,1,"Gd",6,"Typ",1,"TA","Attchd",1987,"Unf",1,467,"TA","TA","Y",0,52,52,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",144500
"238",229,905451320,20,"RL",68,9571,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1956,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",739,"Unf",0,405,1144,"GasA","TA","Y","SBrkr",1144,0,0,1144,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1956,"Unf",1,596,"TA","TA","Y",44,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",129000
"239",230,905452110,50,"RL",50,9350,"Pave",NA,"Reg","Bnk","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",4,6,1947,1979,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","Fa","No","LwQ",192,"Unf",0,564,756,"GasA","Ex","Y","SBrkr",1169,0,362,1531,0,0,1,0,3,1,"TA",8,"Typ",1,"TA","Detchd",1947,"Unf",1,209,"Fa","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",127000
"240",231,905452160,20,"RL",75,9525,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,7,1954,1998,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",954,"Unf",0,218,1172,"GasA","TA","Y","SBrkr",1172,0,0,1172,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1954,"Fin",1,366,"TA","TA","Y",240,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",128000
"241",232,905453040,20,"RL",83,10420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",6,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",36,"Unf",0,1176,1212,"GasA","Ex","Y","SBrkr",1212,0,0,1212,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2009,"RFn",2,460,"TA","TA","Y",100,22,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",186000
"242",233,905453080,20,"RL",44,17485,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",7,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",96,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1346,"Unf",0,162,1508,"GasA","Ex","Y","SBrkr",1508,0,0,1508,1,0,1,0,1,1,"Gd",5,"Typ",2,"TA","Attchd",2009,"RFn",2,572,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,1,2010,"Con","Partial",308030
"243",234,905475510,20,"RL",NA,11200,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,3,1964,1964,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","CBlock","TA","TA","Mn","Unf",0,"Unf",0,1250,1250,"GasA","Ex","Y","SBrkr",1298,0,0,1298,0,0,2,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1964,"Unf",2,504,"TA","Fa","N",0,144,0,0,0,0,NA,NA,NA,0,6,2010,"COD","Normal",114000
"244",235,905478190,20,"RL",60,11100,"Pave",NA,"Reg","Low","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,1946,2006,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock",NA,NA,NA,NA,0,NA,0,0,0,"GasA","Ex","Y","SBrkr",930,0,0,930,0,0,1,0,2,1,"Gd",6,"Typ",0,NA,"Detchd",1946,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Abnorml",84900
"245",236,906201030,60,"RL",77,9206,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,1985,1985,"Gable","CompShg","HdBoard","HdBoard","BrkFace",336,"Gd","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,741,741,"GasA","TA","Y","SBrkr",977,755,0,1732,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1985,"Fin",2,476,"TA","TA","Y",192,46,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",178000
"246",237,906201120,20,"RL",83,11980,"Pave",NA,"Reg","Low","AllPub","Inside","Mod","SawyerW","Norm","Norm","1Fam","1Story",7,5,1987,1987,"Gable","CompShg","Plywood","Plywood","BrkFace",177,"Gd","TA","CBlock","Gd","TA","Gd","GLQ",1433,"Unf",0,0,1433,"GasA","Ex","Y","SBrkr",1433,0,0,1433,1,0,1,1,1,1,"Gd",4,"Typ",2,"TA","Attchd",1987,"RFn",2,528,"Gd","Gd","Y",0,278,0,0,266,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",270000
"247",238,906204230,60,"RL",87,12361,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,7,1993,1993,"Gable","CompShg","VinylSd","VinylSd","BrkFace",85,"Gd","Gd","PConc","Gd","TA","No","GLQ",860,"Unf",0,86,946,"GasA","Ex","Y","SBrkr",964,838,0,1802,0,1,2,1,3,1,"Gd",8,"Typ",1,"Gd","2Types",2000,"RFn",4,1017,"TA","TA","Y",450,92,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",218000
"248",239,906223090,60,"RL",80,9938,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1994,"Gable","CompShg","MetalSd","MetalSd","BrkFace",246,"Gd","TA","PConc","Gd","TA","No","GLQ",750,"Unf",0,300,1050,"GasA","Ex","Y","SBrkr",1062,887,0,1949,1,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1993,"Fin",2,574,"TA","TA","Y",156,90,0,0,0,0,NA,"GdPrv",NA,0,6,2010,"WD ","Normal",236000
"249",240,906225210,85,"RL",73,9069,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",747,"Unf",0,189,936,"GasA","Ex","Y","SBrkr",996,0,0,996,1,0,1,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1992,"Unf",2,564,"TA","TA","Y",120,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",147000
"250",241,906378100,20,"RL",64,10475,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",72,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1694,1694,"GasA","Ex","Y","SBrkr",1694,0,0,1694,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2008,"RFn",3,776,"TA","TA","Y",160,33,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","Normal",245350
"251",242,906380190,20,"RL",64,6762,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",24,"Gd","TA","PConc","Gd","TA","Av","GLQ",686,"Unf",0,501,1187,"GasA","Ex","Y","SBrkr",1208,0,0,1208,1,0,2,0,2,1,"Gd",6,"Typ",0,NA,"Attchd",2006,"RFn",2,632,"TA","TA","Y",105,61,0,0,0,0,NA,NA,NA,0,2,2010,"WD ","Normal",206000
"252",243,906385010,20,"RL",94,10402,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1226,1226,"GasA","Ex","Y","SBrkr",1226,0,0,1226,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2009,"RFn",3,740,"TA","TA","Y",0,36,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",198900
"253",244,906385020,20,"RL",64,7360,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2010,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",80,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1198,1222,"GasA","Ex","Y","SBrkr",1222,0,0,1222,0,0,2,0,2,1,"Gd",6,"Typ",0,NA,"Attchd",2009,"RFn",2,615,"TA","TA","Y",0,54,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",187000
"254",245,906402200,60,"RL",90,12376,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1990,1990,"Hip","CompShg","Plywood","Plywood","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",1470,"Unf",0,203,1673,"GasA","Gd","Y","SBrkr",1699,1523,0,3222,1,0,3,0,5,1,"Gd",11,"Typ",2,"TA","Attchd",1990,"Unf",3,594,"TA","TA","Y",367,0,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",320000
"255",246,906425045,50,"RL",82,14235,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1.5Fin",6,8,1900,1993,"Gable","CompShg","Wd Sdng","Plywood","None",0,"TA","TA","PConc","Fa","Gd","No","Unf",0,"Unf",0,676,676,"GasA","TA","Y","SBrkr",831,614,0,1445,0,0,2,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1957,"Unf",2,484,"TA","TA","N",0,59,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",138500
"256",247,906477110,80,"RL",80,8816,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","SLvl",6,7,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",80,"TA","TA","CBlock","TA","TA","Av","GLQ",504,"Unf",0,506,1010,"GasA","Gd","Y","SBrkr",1052,0,0,1052,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1971,"Unf",2,440,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",155000
"257",248,907125090,85,"RL",82,11105,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","SFoyer",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","Fa","Av","GLQ",870,"Unf",0,0,870,"GasA","Gd","Y","SBrkr",965,0,0,965,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Attchd",1998,"Unf",2,580,"Gd","TA","Y",71,0,0,0,0,0,NA,"GdPrv",NA,0,7,2010,"WD ","Normal",159000
"258",249,907180050,60,"RL",NA,9337,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","ALQ",353,"Unf",0,525,878,"GasA","Ex","Y","SBrkr",892,800,0,1692,0,0,2,1,3,1,"TA",8,"Typ",1,"TA","Attchd",1997,"RFn",2,513,"TA","TA","Y",0,39,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",191000
"259",250,907185060,60,"RL",70,8750,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",116,"TA","TA","PConc","Gd","TA","No","GLQ",505,"Unf",0,299,804,"GasA","Ex","Y","SBrkr",804,878,0,1682,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1998,"RFn",2,523,"TA","TA","Y",0,77,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",200500
"260",251,907200280,20,"RL",38,15240,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,8,1977,2004,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","Gd","CBlock","Gd","TA","No","GLQ",198,"Rec",688,140,1026,"GasA","Ex","Y","SBrkr",1026,0,0,1026,1,0,1,1,3,1,"TA",5,"Typ",0,NA,"Attchd",1977,"Unf",1,308,"TA","TA","Y",316,85,0,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",150000
"261",252,907200290,60,"RL",NA,10900,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,7,1977,1977,"Gable","CompShg","HdBoard","HdBoard","BrkFace",153,"TA","TA","CBlock","Gd","TA","No","GLQ",378,"Unf",0,311,689,"GasA","Ex","Y","SBrkr",689,703,0,1392,0,0,1,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1977,"Fin",1,299,"TA","TA","Y",0,36,0,0,0,0,NA,"MnPrv","Shed",450,3,2010,"WD ","Normal",161750
"262",253,907200340,20,"RL",75,10650,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1976,1976,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","Gd","Av","LwQ",182,"ALQ",712,0,894,"GasA","TA","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1976,"Unf",1,308,"TA","TA","Y",365,0,0,0,0,0,NA,"MnPrv",NA,0,2,2010,"WD ","Normal",128200
"263",254,907203070,20,"RL",68,7480,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1972,1972,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",480,"Unf",0,396,876,"GasA","TA","Y","SBrkr",876,0,0,876,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1977,"Unf",2,484,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",127000
"264",255,907250030,20,"RL",80,10389,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2003,2003,"Hip","CompShg","CemntBd","CmentBd","BrkFace",320,"Gd","TA","PConc","Gd","TA","No","GLQ",1682,"Unf",0,296,1978,"GasA","Ex","Y","SBrkr",1978,0,0,1978,1,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2003,"RFn",3,850,"TA","TA","Y",188,25,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",318000
"266",256,907262050,60,"RL",44,9548,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,6,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",223,"Gd","TA","PConc","Gd","TA","No","GLQ",483,"Unf",0,458,941,"GasA","Ex","Y","SBrkr",941,888,0,1829,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2003,"RFn",2,613,"TA","TA","Y",192,39,0,0,0,0,NA,NA,NA,0,1,2010,"WD ","Normal",237000
"267",257,907280040,60,"RL",75,9375,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1040,1040,"GasA","Ex","Y","SBrkr",1044,1054,0,2098,0,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",1997,"Fin",2,621,"TA","TA","Y",331,38,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",240000
"268",258,907290040,20,"RL",48,12137,"Pave",NA,"IR2","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",442,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1649,1649,"GasA","Ex","Y","SBrkr",1661,0,0,1661,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1998,"RFn",2,598,"TA","TA","Y",0,34,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",224900
"269",259,907290170,120,"RM",NA,4435,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","TwnhsE","1Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",170,"Gd","TA","PConc","Gd","TA","Av","GLQ",672,"Unf",0,176,848,"GasA","Ex","Y","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",4,"Typ",0,NA,"Attchd",2003,"Fin",2,420,"TA","TA","Y",140,0,0,0,0,0,NA,NA,NA,0,4,2010,"WD ","Normal",143750
"272",260,907410080,20,"RL",70,8400,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",109,"Gd","TA","PConc","Gd","TA","Av","GLQ",712,"Unf",0,761,1473,"GasA","Ex","Y","SBrkr",1484,0,0,1484,1,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,606,"TA","TA","Y",0,35,0,144,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",213000
"273",261,907414030,20,"RL",65,8773,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",98,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1390,1414,"GasA","Ex","Y","SBrkr",1414,0,0,1414,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2004,"RFn",2,494,"TA","TA","Y",132,105,0,0,0,0,NA,NA,NA,0,5,2010,"WD ","Normal",185500
"274",262,908102060,30,"RL",67,8777,"Pave",NA,"Reg","Lvl","AllPub","Inside","Mod","Edwards","Feedr","Norm","1Fam","1Story",3,6,1945,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","N","SBrkr",640,0,0,640,0,0,1,0,2,1,"TA",5,"Min1",0,NA,"Detchd",1945,"Unf",1,240,"TA","TA","N",0,0,0,0,0,0,NA,NA,NA,0,4,2010,"ConLD","Normal",84900
"275",263,908102110,20,"RL",68,8842,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","Fa","TA","No","Unf",0,"Unf",0,381,381,"GasA","Ex","Y","SBrkr",992,0,0,992,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1954,"Unf",1,319,"TA","TA","Y",60,0,56,0,0,0,NA,"MnPrv",NA,0,1,2010,"Oth","Abnorml",155891
"277",264,908102170,20,"RL",60,10044,"Pave",NA,"IR1","Low","AllPub","CulDSac","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1070,"Unf",0,126,1196,"GasA","TA","Y","SBrkr",1196,0,0,1196,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1968,"RFn",1,336,"TA","TA","Y",257,0,168,0,0,0,NA,"MnPrv",NA,0,6,2010,"WD ","Normal",144000
"278",265,908102300,50,"RL",89,11792,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",4,5,1948,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,744,744,"GasA","Ex","N","FuseF",792,328,0,1120,0,0,1,0,2,1,"Fa",5,"Typ",0,NA,"Detchd",1956,"Unf",2,480,"TA","Fa","P",0,0,0,0,160,0,NA,NA,NA,0,6,2010,"WD ","Abnorml",64000
"279",266,908103350,80,"RL",65,6305,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","SLvl",6,6,1975,1975,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",528,"Unf",0,480,1008,"GasA","TA","Y","SBrkr",1096,0,0,1096,1,0,1,0,3,1,"TA",5,"Typ",1,"Fa","Detchd",1975,"Unf",1,352,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2010,"WD ","Normal",125200
"280",267,908152080,80,"RL",94,7819,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","SLvl",6,5,1976,1976,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",422,"BLQ",127,480,1029,"GasA","TA","Y","SBrkr",1117,0,0,1117,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Detchd",1976,"Unf",2,672,"TA","TA","Y",144,0,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD ","Abnorml",107000
"281",268,908203100,20,"RL",64,6410,"Pave",NA,"Reg","HLS","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1958,1958,"Hip","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,960,960,"GasA","Ex","Y","SBrkr",960,0,0,960,0,0,1,0,3,1,"TA",5,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,5,2010,"WD ","Normal",90000
"282",269,908208020,20,"RM",80,8546,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1121,1121,"GasA","Ex","Y","SBrkr",1121,0,0,1121,0,0,2,0,2,1,"TA",5,"Typ",0,NA,"Attchd",2003,"RFn",2,440,"TA","TA","Y",132,64,0,0,0,0,NA,NA,NA,0,3,2010,"WD ","Normal",140000
"283",270,908225320,50,"RL",52,8741,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",6,4,1945,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","LwQ",94,"Unf",0,641,735,"GasA","TA","Y","FuseA",798,689,0,1487,0,0,1,1,3,1,"TA",7,"Typ",1,"Gd","Detchd",1949,"Unf",1,220,"TA","TA","Y",0,140,0,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD ","Normal",113000
"284",271,908226130,190,"RL",60,12180,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","2fmCon","1.5Fin",4,4,1941,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Fa","BrkTil","Gd","TA","No","BLQ",348,"Unf",0,324,672,"Grav","Fa","N","FuseA",672,252,0,924,1,0,1,0,2,1,"Fa",5,"Typ",0,NA,"Detchd",1941,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,7,2010,"WD ","Normal",80000
